spec_T,Surname,Name,OCC,Diameter,TOF,Launch_date,Min_dv,Duration,Stay
0.42920708656311035,2000 CO101,,0,0.84,180.0,2038-03-04 00:00:00,9.63,373,13
0.8016909956932068,2000 YO29,,0,1.6,430.0,2039-05-08 00:00:00,37.56,403,28
0.5059230327606201,2000 WC67,,0,1.312,190.0,2044-05-21 00:00:00,22.43,368,8
0.9606225490570068,1994 AW1,,0,1.68,240.0,2044-01-22 00:00:00,15.6,353,8
0.1292647123336792,2001 YK4,,0,1.339,440.0,2049-02-04 00:00:00,23.29,443,23
0.030719518661499023,2000 PG3,,0,4.2,440.0,2043-06-26 00:00:00,34.77,413,8
0.8902148008346558,2000 SY162,,0,0.73,440.0,2045-04-26 00:00:00,23.05,428,8
0.31766194105148315,2001 MF1,,0,1.237,410.0,2043-11-23 00:00:00,29.92,413,8
0.8902148008346558,2001 XS1,,0,0.88,370.0,2049-04-05 00:00:00,25.52,443,8
0.7857698202133179,2001 XY10,,0,0.78,100.0,2027-09-28 00:00:00,22.26,448,43
0.4601370692253113,2000 AC6,,0,0.176,180.0,2036-08-01 00:00:00,8.98,438,18
0.7407355904579163,2001 XU30,,0,0.61,380.0,2027-11-17 00:00:00,19.98,388,13
0.9557381272315979,1999 VN6,,0,0.7,220.0,2040-05-12 00:00:00,19.88,368,8
0.8902148008346558,2001 OE84,,0,1.46,440.0,2025-05-11 00:00:00,20.05,443,8
0.9615494012832642,1999 FA,,0,0.41,250.0,2045-02-05 00:00:00,8.41,393,33
0.9676836133003235,2000 CE59,,0,0.46,290.0,2034-02-13 00:00:00,10.28,358,13
0.8187977075576782,2000 DO1,,0,0.48,280.0,2035-12-15 00:00:00,18.13,433,13
0.8451682925224304,2000 WL10,,0,1.4,220.0,2038-12-19 00:00:00,20.85,353,8
0.9374812841415405,2002 AL14,,0,1.49,190.0,2040-11-08 00:00:00,14.03,448,163
0.8055602312088013,1999 JE1,,0,0.62,440.0,2034-04-14 00:00:00,23.9,393,18
